Descrição do alimento,Quantidade (g),Energia (kcal),Proteína (g),Lipídeos (g),Saturada (g),Monoinsat (g),Polinsat (g),ômega 6,ômega 3,Colesterol (mg),CHO (g),Fibras (g),Cálcio (mg),Mg (mg),Mn (mg),P (mg),Ferro (mg),Sódio (mg),Potássio (mg),Cobre (mg),Zinco (mg),Retinol (mcg),Tiamina (mg),Riboflavina (mg),Piridoxina (mg),Niacina (mg),Vit. C (mg)
"Couve-flor, cozida",100,"19,11","1,24","0,27","0,10",Tr,"0,10","0,06","0,06",NA,"3,88","2,13","16,14","5,44","0,10","25,43","0,13","1,79","80,49",Tr,"0,26",NA,"0,04",Tr,Tr,Tr,"23,70"
"Espinafre, Nova Zelândia, cru",100,"16,10","2,00","0,24",,,,,,NA,"2,57","2,10","97,51","81,64","0,71","25,43","0,36","17,09","336,01","0,06","0,27",NA,"0,10","0,21","0,06",Tr,"2,42"
"Espinafre, Nova Zelândia, refogado",100,"67,25","2,72","5,43","0,90","1,30","2,90","2,55","0,38",NA,"4,24","2,52","112,38","122,71","0,61","33,51","0,65","47,02","149,23","0,04","0,59",NA,"0,08","0,13","0,13",Tr,"5,27"
"Farinha, de mandioca, crua",100,"360,87","1,55","0,28","0,10","0,10",Tr,"0,03","0,01",NA,"87,90","6,39","64,87","37,00",Tr,"41,61","1,09","1,02","340,13","0,08","0,39",NA,"0,14",Tr,"0,04",Tr,Tr
alface,100,"365,27","1,23","0,29","0,10","0,10",Tr,"0,03","0,01",NA,"89,19","6,54","75,53","40,01","0,37","38,63","1,19","10,31","327,74",Tr,"0,36",NA,Tr,Tr,"0,81",Tr,Tr
"Farinha, de puba",100,"360,18","1,62","0,47","0,23","0,19",Tr,"0,04",,NA,"87,29","4,24","41,40","27,49","0,16","32,64","1,43","3,61","337,76","0,07","0,34",NA,"0,09",Tr,Tr,Tr,Tr
"Fécula, de mandioca",100,"330,85","0,52","0,28",,,,,,NA,"81,15","0,65","11,89","3,02",Tr,"60,39","0,11","2,45","48,13",Tr,Tr,NA,"0,03",Tr,Tr,Tr,Tr
"Feijão, broto, cru",100,"38,72","4,17","0,10",,,,,,NA,"7,76","1,97","14,48","25,13","0,19","74,75","0,82","1,79","189,22","0,17","0,57",NA,Tr,"0,04","0,15",Tr,"12,00"
"Inhame, cru",100,"96,70","2,05","0,21","0,08",Tr,"0,08","0,08",Tr,NA,"23,23","1,65","11,80","28,76","0,15","64,72","0,36",Tr,"567,74","0,17","0,30",NA,"0,08",Tr,"0,11",Tr,"5,62"
"Jiló, cru",100,"27,37","1,40","0,22","0,07","0,05","0,20","0,20",Tr,NA,"6,19","4,83","19,97","20,63","0,14","29,02","0,34",Tr,"212,95","0,07","0,14",NA,"0,07","0,04",Tr,Tr,"6,79"
"Jurubeba, crua",100,"125,81","4,41","3,91","0,50","0,50","2,10","2,09","0,03",NA,"23,06","23,92","151,02","65,32","0,52","155,12","0,95","0,77","619,40","1,16","0,63",NA,"0,13","0,02","0,20",Tr,"13,83"
"Mandioca, cozida",100,"125,36","0,58","0,30","0,10","0,10","0,10","0,05","0,01",NA,"30,09","1,56","18,63","26,82","0,06","22,41","0,07","0,91","100,36","0,01","0,17",NA,"0,06",Tr,"0,03",Tr,"11,07"
"Mandioca, crua",100,"151,42","1,13","0,30","0,06","0,12",Tr,"0,04",Tr,NA,"36,17","1,88","15,19","44,50","0,05","29,43","0,27","2,15","208,06","0,07","0,20",NA,Tr,Tr,"0,04",Tr,"16,53"
"Mandioca, farofa, temperada",100,"405,69","2,06","9,12","1,90","2,40","2,50","2,29","0,19",NA,"80,30","7,82","65,69","34,34","0,29","44,52","1,36","574,51","201,38",Tr,"0,17",NA,"0,10",Tr,"0,15",Tr,Tr
"Mandioca, frita",100,"300,06","1,38","11,20","1,70","2,77","6,18","5,58","0,57",NA,"50,25","1,87","23,05","94,87","0,18","56,54","0,32","8,94","176,06","0,12","0,44",NA,"0,05",Tr,"0,04",Tr,Tr
"Manjericão, cru",100,"21,15","1,99","0,39","0,13",Tr,"0,27","0,05","0,21",NA,"3,64","3,31","210,92","57,81","0,17","39,92","0,97","3,89","251,55","0,16","0,46",NA,"0,06","0,21","0,06","0,90","2,34"
"Maxixe, cru",100,"13,75","1,39","0,07",,,,,,NA,"2,73","2,19","20,87","9,61","0,07","24,98","0,35","10,99","327,70","0,02","0,18",NA,"0,06","0,02","0,04",Tr,"9,63"
"Mostarda, folha, crua",100,"18,11","2,11","0,17",,,,,,NA,"3,24","1,89","68,18","15,62","0,14","58,40","1,10","2,88","363,57","0,05","0,28",NA,"0,05","0,04","0,05",Tr,"38,55"
"Nhoque, batata, cozido",100,"180,78","5,86","1,94","0,56","0,47","0,78","0,72","0,05","15,08","36,78","1,78","11,42","17,90","0,30","68,37","1,65","7,07","163,70","0,10","0,48","15,47","0,08",Tr,"0,04",Tr,Tr
"Nabo, cru",100,"18,19","1,20","0,05",,,,,,NA,"4,15","2,64","42,39","14,60","4,42","16,57","0,22","2,46","279,65","0,02","0,19",NA,"0,07",Tr,"0,03",Tr,"9,55"
"Palmito, juçara, em conserva",100,"23,20","1,79","0,40","0,10",Tr,"0,10","0,09","0,01",NA,"4,33","3,15","58,29","33,70","10,82","40,26","0,30","513,82","243,97","0,23","0,73",NA,"0,06","0,04",Tr,Tr,"1,98"
"Palmito, pupunha, em conserva",100,"29,43","2,46","0,45",,,,,,NA,"5,51","2,55","32,44","25,49","0,14","54,96","0,18","562,69","206,42","0,08","0,36",NA,"0,03",Tr,Tr,Tr,"8,66"
"Pão, de queijo, assado",100,"363,08","5,12","24,57",,,,,,"67,73","34,24","0,56","102,49","8,24","0,03","93,74","0,28","773,49","93,09","0,01","0,63","61,31","0,04","0,10","0,04",Tr, 
"Pão, de queijo, cru",100,"294,54","3,65","13,99","3,40","3,00","4,10","3,67","0,36","63,05","38,51","0,98","87,56","6,83",Tr,"78,84","0,29","404,99","58,08",Tr,"0,43","47,50",Tr,"0,08",Tr,Tr, 
"Pepino, cru",100,"9,53","0,87",Tr,,,,,,NA,"2,04","1,12","9,62","9,34","0,08","12,32","0,15",Tr,"153,69","0,04","0,13",NA,Tr,"0,03",Tr,Tr,"4,99"
"Pimentão, amarelo, cru",100,"27,93","1,22","0,44",,,,,,NA,"5,96","1,92","9,61","10,90","0,08","22,38","0,41",Tr,"221,33","0,04","0,15",NA,"0,04","0,03","0,06",Tr,"201,36"
"Pimentão, verde, cru",100,"21,29","1,05","0,15",,,,,,NA,"4,89","2,56","8,76","7,79","0,14","16,51","0,41",Tr,"174,33","0,07","0,14",NA,Tr,Tr,Tr,Tr,"100,21"
"Pimentão, vermelho, cru",100,"23,28","1,04","0,15",,,,,,NA,"5,47","1,59","6,37","11,13","0,06","19,96","0,33",Tr,"210,92","0,04","0,15",NA,"0,05","0,06","0,02",Tr,"158,21"
"Polvilho, doce",100,"351,23","0,43",Tr,,,,,,NA,"86,77","0,24","27,41","4,10","0,09","8,38","0,51","1,58","37,63",Tr,Tr,NA,Tr,Tr,Tr,Tr,Tr
"Quiabo, cru",100,"29,94","1,92","0,30",,,,,,NA,"6,37","4,55","112,16","49,97","0,46","55,83","0,37","0,89","248,80","0,17","0,59",NA,"0,10",Tr,"0,03",Tr,"5,60"
"Rabanete, cru",100,"13,74","1,39","0,07",,,,,,NA,"2,73","2,19","20,87","9,61","0,07","24,98","0,35","10,99","327,70","0,02","0,18",NA,"0,06","0,02","0,04",Tr,"9,63"
"Repolho, branco, cru",100,"17,12","0,88","0,14",,,,,,NA,"3,86","1,89","34,55","8,51","0,13","14,20","0,15","3,64","150,09","0,02","0,15",NA,Tr,"0,03","0,06",Tr,"18,72"
"Repolho, roxo, cru",100,"30,91","1,91","0,06",,,,,,NA,"7,20","1,97","43,67","18,02","0,25","57,71","0,52","2,34","328,07","0,90","0,25",NA,"0,07",Tr,"0,09",Tr,"43,20"
"Repolho, roxo, refogado",100,"41,77","1,80","1,24","0,19","0,28","0,68","0,61","0,07",NA,"7,56","1,75","42,59","17,25","0,26","59,38","0,47","3,42","321,45","0,02","0,26",NA,"0,07",Tr,"0,07","0,63","40,52"
"Rúcula, crua",100,"13,13","1,77","0,11",,,,,,NA,"2,22","1,74","116,56","17,79","0,24","25,17","0,94","9,42","233,40","0,04","0,23",NA,"0,04",Tr,Tr,"0,35","46,29"
"Salsa, crua",100,"33,42","3,26","0,61","0,08",Tr,"0,20","0,11","0,09",NA,"5,71","1,85","179,41","20,90","1,88","49,35","3,18","2,30","711,30","0,20","1,32",NA,"0,12","0,15","0,47","0,72","51,69"
"Seleta de legumes, enlatada",100,"56,53","3,42","0,35","0,12","0,22","0,21","0,20","0,01",NA,"12,67","3,09","16,16","15,61","0,13","49,03","1,06","398,14","122,21","0,08","0,53",NA,"0,03",Tr,Tr,"3,72",Tr
"Serralha, crua",100,"30,40","2,67","0,74","0,10","0,10","0,30","0,07","0,26",NA,"4,95","3,52","126,02","29,55","0,23","48,26","1,27","19,35","265,27","0,20","1,33",NA,Tr,"0,11","0,08",Tr,"1,51"
"Taioba, crua",100,"34,21","2,90","0,93","0,20","0,10","0,40","0,12","0,25",NA,"5,43","4,45","141,09","37,92","0,66","52,76","1,91","1,16","290,32","0,16","0,61",NA,Tr,"0,10","0,10",Tr,"17,94"
"Tomate, com semente, cru",100,"15,34","1,10","0,17",,,,,,NA,"3,14","1,17","6,94","10,54","0,07","20,19","0,24","1,02","222,39","0,04","0,14",NA,"0,12",Tr,"0,02",Tr,"21,21"
"Tomate, extrato",100,"60,93","2,43","0,19",,,,,,NA,"14,96","2,80","29,08","29,33","0,18","47,16","2,09","497,93","679,91","0,20","0,37",NA,Tr,Tr,"0,11","2,42","18,01"
"Tomate, molho industrializado",100,"38,45","1,38","0,90","0,10","0,10","0,20","0,17","0,02",NA,"7,71","3,12","11,73","16,79","0,08","27,21","1,58","418,28","388,20","0,08","0,13",NA,Tr,Tr,"0,06",Tr,"2,71"
"Tomate, purê",100,"27,94","1,36",Tr,,,,,,NA,"6,89","1,03","13,24","15,44", ,"30,01","1,25","103,93","308,24","0,09","0,33",NA,Tr,Tr,"0,07","1,18","5,38"
"Tomate, salada",100,"20,55","0,81",Tr,,,,,,NA,"5,12","2,27","6,95","9,50","4,40","23,38","0,29","5,24","161,16","0,07","0,17",NA,"0,06","0,04","0,05",Tr,"12,80"
"Vagem, crua",100,"24,90","1,79","0,17",,,,,,NA,"5,35","2,38","41,10","17,83","0,50","27,99","0,43",Tr,"208,20","0,06","0,33",NA,Tr,"0,08",Tr,Tr,"1,15"
Frutas e derivados,,,,,,,,,,,,,,,,,,,,,,,,,,, 
"Abacate, cru",100,"96,15","1,24","8,40","2,30","4,30","1,40","1,29","0,08",NA,"6,03","6,31","7,92","14,68","0,17","21,95","0,21",Tr,"206,26","0,15","0,22",NA,Tr,"0,04",Tr,Tr,"8,66"
"Abacaxi, cru",100,"48,32","0,86","0,12",,,,,,NA,"12,33","0,99","22,43","18,44","1,62","12,78","0,26",Tr,"131,34","0,11","0,14",NA,"0,17","0,02",Tr,Tr,"34,62"
"Abacaxi, polpa, congelada",100,"30,59","0,47","0,11",,,,,,NA,"7,80","0,33","13,54","10,07","1,02","7,63","0,36","1,24","106,68","0,04","0,06",NA,"0,05",Tr,Tr,Tr,"1,25"
"Abiu, cru",100,"62,42","0,83","0,70","0,30","0,10","0,10","0,10","0,02",NA,"14,93","1,70","5,78","9,30","0,08","20,29","0,16",Tr,"128,34","0,09","0,10",NA,Tr,"0,04", ,Tr,"10,28"
"Açaí, polpa, com xarope de guaraná e glucose",100,"110,30","0,72","3,66","0,70","1,90","0,30","0,30","0,02",NA,"21,46","1,72","22,16","12,73","3,29","10,79","0,27","15,10","75,49","0,14","0,19",NA,Tr,Tr,"0,07",Tr,"10,27"
"Açaí, polpa, congelada",100,"58,05","0,80","3,94","0,73","2,01","0,38","0,35","0,02",NA,"6,21","2,55","35,18","17,04","6,16","16,43","0,43","5,18","123,62","0,18","0,27",NA,,"0,04","0,07",Tr,Tr
"Acerola, crua",100,"33,46","0,91","0,21",,,,,,NA,"7,97","1,51","12,55","13,13","0,07","9,24","0,22",Tr,"164,99","0,07","0,15",NA,Tr,"0,04",Tr,"1,38","941,37"
"Acerola, polpa, congelada",100,"21,94","0,59",Tr,,,,,,NA,"5,54","0,70","7,59","8,66","0,03","12,86","0,17","1,28","111,99","0,04","0,07",NA,Tr,"0,10",Tr,Tr,"623,24"
"Ameixa, calda, enlatada ",100,"182,85","0,41",Tr,,,,,,NA,"46,89","0,52","13,15","9,96","0,10","20,94","2,15","2,70","221,19","0,03","0,14",NA,Tr,"0,23","0,37",Tr,"4,27"
"Ameixa, crua",100,"52,54","0,77",Tr,,,,,,NA,"13,85","2,43","5,72","5,48","0,03","13,92","0,10",Tr,"134,05","0,06","0,05",NA,"0,07",Tr,"3,00",Tr,"7,63"
"Ameixa, em calda, enlatada, drenada ",100,"177,36","1,03","0,28","0,10",Tr,"0,10","0,07","0,01",NA,"47,66","4,55","39,24","14,49","0,20","26,07","2,70","2,79","263,26","0,16","0,20",NA,Tr,"0,22","0,08",Tr,"5,15"
"Atemóia, crua",100,"96,97","0,97","0,30","0,10",Tr,"0,10","0,06","0,04",NA,"25,33","2,14","22,77","24,84","0,16","23,36","0,16","0,79","300,01","0,17","0,19",NA,"0,09","0,07","0,07","1,58","10,15"
"Banana, da terra, crua",100,"128,02","1,43","0,24",,,,,,NA,"33,67","1,53","4,15","23,79","0,16","25,52","0,29",Tr,"328,03","0,05","0,16",NA,"0,03","0,02","0,14",Tr,"15,75"
"Banana, doce em barra",100,"280,11","2,17","0,05",,,,,,NA,"75,67","3,83","11,95","49,19","0,84","36,88","0,61","9,88","518,25","0,16","0,30",NA,"0,03",Tr,"0,06","1,41",Tr
"Banana, figo, crua",100,"105,08","1,13","0,14",,,,,,NA,"27,80","2,80","6,36","30,16","0,21","15,82","0,20",Tr,"386,59","0,06","0,12",NA,"0,09",Tr,"0,03",Tr,"17,50"
"Banana, maçã, crua",100,"86,81","1,75","0,06",,,,,,NA,"22,34","2,59","3,22","23,69","0,60","28,68","0,20",Tr,"264,39","0,11","0,12",NA,Tr,Tr,"0,14",Tr,"10,47"
"Banana, nanica, crua",100,"91,53","1,40","0,12",,,,,,NA,"23,85","1,95","3,42","27,80","0,14","26,72","0,35",Tr,"376,47","0,10","0,18",NA,Tr,"0,02","0,14",Tr,"5,86"
"Banana, ouro, crua",100,"112,37","1,48","0,21",,,,,,NA,"29,34","1,95","3,19","28,38","0,09","22,27","0,34",Tr,"354,81","0,08","0,26",NA,Tr,Tr,"0,14",Tr,"7,56"
"Banana, pacova, crua",100,"77,91","1,23","0,08",,,,,,NA,"20,31","2,03","5,49","30,41","0,41","19,75","0,37","0,94","267,35","0,06","0,14",NA,"0,05","0,03","0,17",Tr,Tr
"Banana, prata, crua",100,"98,25","1,27","0,07",,,,,,NA,"25,96","2,04","7,56","26,29","0,42","22,20","0,38",Tr,"357,68","0,05","0,15",NA,Tr,"0,02","0,10",Tr,"21,59"
"Cacau, cru",100,"74,29","0,95","0,14",,,,,,NA,"19,41","2,19","12,10","24,62","0,04","9,34","0,26","0,70","71,64","0,15","0,59",NA,"0,25",Tr,"0,04",Tr,"13,56"
"Cajá-Manga, cru",100,"45,58","1,28",Tr,,,,,,NA,"11,43","2,58","12,74","11,28","0,05","24,47","0,15","1,44","119,40","0,02","0,18",NA,"0,11",Tr,"0,05",Tr,"26,70"
"Cajá, polpa, congelada",100,"26,33","0,59","0,17",,,,,,NA,"6,37","1,36","9,16","7,17","0,07","25,66","0,32","6,95","148,08","0,10","0,05",NA,"0,04",Tr,Tr,Tr,Tr
"Caju, cru",100,"43,07","0,97","0,33",,,,,,NA,"10,29","1,68","1,42","10,11","0,12","15,64","0,15","2,97","123,86","0,07","0,09",NA,Tr,Tr,Tr,Tr,"219,33"
"Caju, polpa, congelada",50,"18,28","0,24","0,08",,,,,,NA,"4,68","0,41","0,42","3,54","0,03","4,89","0,07","2,08","43,83","0,03","0,04",NA,Tr,"0,01",Tr,"1,12","59,86"
"Caju, suco concentrado, envasado",100,"45,11","0,40","0,20",,,,,,NA,"10,73","0,63","0,98","8,45","0,06","11,40","0,15","45,04","106,99","0,04","0,07",NA,Tr,"0,03",Tr,Tr,"138,70"
"Caqui, chocolate, cru",100,"71,35","0,36","0,07",,,,,,NA,"19,33","6,52","17,85","8,55","0,39","18,43","0,10","2,18","163,55",Tr,"0,19",NA,Tr,Tr,"0,03",Tr,"29,61"
"Carambola, crua",100,"45,74","0,87","0,18",,,,,,NA,"11,48","2,03","4,79","7,36","0,13","10,75","0,20","4,09","132,58","0,08","0,24",NA,"0,12",Tr,Tr,Tr,"60,87"
"Ciriguela, crua",100,"75,59","1,40","0,36","0,20",Tr,"0,10","0,07","0,03",NA,"18,86","3,90","27,41","17,96","0,06","48,60","0,36","1,68","248,01","0,12","0,53",NA,"0,14",Tr,Tr,Tr,"27,03"
"Cupuaçu, cru",100,"49,42","1,16","0,95","0,40","0,20","0,10","0,03","0,09",NA,"10,43","3,12","13,12","18,17","0,07","21,28","0,49","3,20","331,03","0,07","0,34",NA,"0,37","0,04","0,07","4,34","24,51"
"Cupuaçu, polpa, congelada",100,"48,80","0,84","0,59","0,30","0,10",Tr,"0,01","0,03",NA,"11,39","1,59","5,49","13,91","0,17","14,20","0,26","0,69","291,09","0,14","0,15",NA,"0,07","0,07","0,05",Tr,"10,49"
"Figo, cru",100,"41,45","0,97","0,16",,,,,,NA,"10,25","1,79","27,39","11,31","0,06","14,57","0,20",Tr,"174,42","0,13","0,09",NA,"0,05",Tr,Tr,Tr,"0,79"
"Figo, enlatado, em calda",100,"184,36","0,56","0,15",,,,,,NA,"50,34","1,98","32,62","6,85","0,16","6,25","0,50","6,87","39,35","0,25","0,09",NA,Tr,Tr,Tr,Tr,"5,24"
"Fruta-pão, crua",100,"67,05","1,08","0,19","0,10",Tr,Tr,"0,01","0,02",NA,"17,17","5,55","33,68","24,03","0,04","27,39","0,23","0,80","188,13","0,07","0,13",NA,"0,03",Tr,Tr,Tr,"9,87"
"Goiaba, branca, com casca, crua",100,"51,74","0,90","0,49","0,06",Tr,"0,23","0,23",Tr,NA,"12,40","6,33","5,01","7,04","0,07","16,40","0,17",Tr,"219,77","0,04","0,16",NA,Tr,Tr,"0,03",Tr,"99,20"
"Goiaba, doce em pasta",100,"268,96","0,58","0,00",,,,,,NA,"74,12","3,73","10,06","6,49","0,11","53,57","0,40","3,70","164,81","0,06","0,09",NA,"0,07",Tr,Tr,Tr,"23,06"
"Goiaba, doce, cascão",100,"285,59","0,41","0,10",,,,,,NA,"78,70","4,37","14,70","9,67","0,16","28,20","0,40","11,03","250,72","0,08","0,14",NA,Tr,Tr,Tr,"1,41","34,33"
"Goiaba, vermelha, com casca, crua",100,"54,17","1,09","0,44","0,05",Tr,"0,26","0,26",Tr,NA,"13,01","6,22","4,45","6,89","0,09","15,37","0,17",Tr,"197,58","0,04","0,13",NA,Tr,Tr,"0,03",Tr,"80,60"
"Graviola, crua",100,"61,62","0,85","0,21",Tr,"0,10",Tr,"0,01","0,02",NA,"15,84","1,91","40,12","23,50","0,08","19,17","0,17","4,16","249,67","0,04","0,13",NA,"0,17","0,12","0,03",Tr,"19,14"
"Graviola, polpa, congelada",100,"38,27","0,57","0,14",,,,,,NA,"9,78","1,19","5,98","9,76","0,06","16,59","0,10","3,05","169,96","0,06","0,05",NA,Tr,"0,09",Tr,Tr,"10,48"
"Jabuticaba, crua",100,"58,05","0,61","0,13",,,,,,NA,"15,26","2,30","8,35","17,78","0,30","14,55","0,09",Tr,"129,72","0,07","0,28",NA,"0,06",Tr,Tr,Tr,"16,17"
"Jaca, crua",100,"87,92","1,40","0,27","0,10","0,10",Tr,Tr,"0,02",NA,"22,50","2,39","11,25","40,05","0,48","13,90","0,38","1,80","233,75","0,09","0,17",NA,"0,10","0,04","0,05",Tr,"14,82"
"Jambo, cru",100,"26,91","0,89","0,07",,,,,,NA,"6,49","5,07","13,80","14,18","0,05","18,36","0,14","21,66","134,87","0,02","0,11",NA,"0,08",Tr,Tr,"1,18","3,77"
"Jamelão, cru",100,"41,01","0,55","0,11",,,,,,NA,"10,63","1,78","3,09","2,16",Tr,"4,12","0,05","1,37","394,34","0,03","0,05",NA,"0,17",Tr,"0,12",Tr,"27,07"
"Kiwi, cru",100,"51,14","1,34","0,63","0,06","0,10","0,35","0,06","0,29",NA,"11,50","2,65","23,91","10,58","0,05","33,08","0,25",Tr,"268,92","0,15","0,07",NA,Tr,Tr,"0,06",Tr,"70,78"
"Laranja, baía, crua",290,"131,77","2,84","0,30",,,,,,NA,"33,26","3,26","102,68","26,73","0,12","69,03","0,40",Tr,"505,03","0,12","0,17",NA,"0,18","0,06",Tr,Tr,"164,92"
"Laranja, baía, suco",100,"36,65","0,65",Tr,,,,,,NA,"8,70",Tr,"5,93","7,80","0,02","21,93","0,06",Tr,"172,56","0,02",Tr,NA,"0,03",Tr,"0,02",Tr,"94,48"
"Laranja, da terra, crua",100,"51,47","1,08","0,19",,,,,,NA,"12,86","3,98","51,08","14,06","0,04","20,12","0,15","0,83","172,52","0,04","0,22",NA,"0,07","0,09","0,03",Tr,"34,68"
"Laranja, da terra, suco",100,"40,96","0,67","0,14",,,,,,NA,"9,57","1,03","13,39","10,11","0,02","14,89","0,09",Tr,"145,24","0,02","0,07",NA,"0,04",Tr,"0,04",Tr,"44,32"
"Laranja, lima, crua",100,"45,70","1,06","0,08",,,,,,NA,"11,53","1,78","31,47","10,16","0,05","14,51","0,12","1,11","129,87","0,03","0,12",NA,"0,09","0,05","0,04",Tr,"43,46"
"Laranja, lima, suco",100,"39,34","0,71","0,12",,,,,,NA,"9,17","0,42","7,74","10,89","0,02","16,24",Tr,Tr,"128,74","0,02","0,03",NA,"0,10","0,03","0,04",Tr,"41,30"
"Laranja, pêra, crua",100,"36,77","1,04","0,13",,,,,,NA,"8,95","0,77","21,89","8,61","0,05","22,68","0,09",Tr,"162,82","0,03","0,06",NA,"0,07","0,02","0,02",Tr,"53,73"
"Laranja, pêra, suco",100,"32,71","0,74","0,07",,,,,,NA,"7,55",Tr,"7,37","7,59","0,03","14,01",Tr,Tr,"148,76","0,01",Tr,NA,Tr,Tr,Tr,Tr,"73,34"
"Laranja, valência, crua",100,"46,11","0,77","0,16",,,,,,NA,"11,72","1,73","33,74","14,40","0,06","19,77","0,09","0,63","157,90","0,04","0,11",NA,"0,07","0,04","0,03",Tr,"47,85"
"Laranja, valência, suco",100,"36,20","0,48","0,12",,,,,,NA,"8,55","0,42","9,08","9,59","0,03","17,27",Tr,Tr,"143,42","0,02",Tr,NA,*,*,"0,03",Tr,*
"Limão, cravo, suco",100,"14,10","0,33",Tr,,,,,,NA,"5,25",Tr,"10,18","8,86","0,03","11,13","0,08",Tr,"119,88","0,03",,NA,Tr,Tr,Tr,Tr,"32,78"
"Limão, galego, suco",100,"22,23","0,57","0,07",,,,,,NA,"7,32",Tr,"5,26","5,92","0,01","13,04","0,05",Tr,"112,51","0,02","0,05",NA,Tr,Tr,"0,03",Tr,"34,50"
"Limão, tahiti, cru",100,"31,82","0,94","0,14",,,,,,NA,"11,08","1,18","50,98","9,70","0,07","23,76","0,18","1,25","128,29","0,06","0,21",NA,"0,30","0,04",Tr,Tr,"38,24"
"Maçã, Argentina, com casca, crua",100,"62,53","0,23","0,25","0,10",Tr,Tr,"0,04","0,01",NA,"16,59","2,03","3,39","4,86","0,01","11,40","0,05","1,32","117,48","0,03",Tr,NA,"0,05",Tr,Tr,Tr,"1,49"
"Maçã, Fuji, com casca, crua",100,"55,52","0,29",Tr,,,,,,NA,"15,15","1,35","1,92","2,04","0,03","9,08","0,09",Tr,"74,71","0,06",Tr,NA,Tr,Tr,"0,03",Tr,"2,41"
"Macaúba, crua",100,"404,28","2,08","40,66","7,10","25,30","6,50","6,18","0,30",NA,"13,95","13,44","66,53","66,05","0,08","43,87","0,81","0,65","305,81","0,35","0,66",NA,"0,11","0,11","0,03",Tr,"13,44"
" Mamão, doce em calda, drenado",100,"195,63","0,19","0,07",,,,,,NA,"54,00","1,31","20,01","5,81","0,02","4,48","0,11","2,91","68,24","0,02","0,07",NA,"0,03",Tr,Tr,Tr,"3,90"
"Mamão, Formosa, cru",100,"45,34","0,82","0,12",,,,,,NA,"11,55","1,81","24,87","17,32","0,04","10,86","0,23","3,26","221,80","1,36","0,07",NA,"0,03","0,03",Tr,Tr,"78,53"
"Mamão, Papaia, cru",100,"40,16","0,46","0,12",,,,,,NA,"10,44","1,04","22,42","22,18","0,01","10,67","0,19","1,63","126,15","0,02","0,07",NA,"0,03","0,04",Tr,"1,03","82,21"
" Mamão verde, doce em calda, drenado",100,"209,38","0,32","0,10",,,,,,NA,"57,64","1,23","12,44","4,54","0,04","3,23","0,15","4,74","8,67","0,02","0,02",NA,Tr,Tr,Tr,Tr,Tr
"Manga, Haden, crua",100,"63,50","0,41","0,26","0,10","0,10",Tr,"0,02","0,02",NA,"16,66","1,58","11,66","7,82","0,17","9,30","0,10","0,55","147,88","0,10","0,07",NA,"0,02","0,06","0,05",Tr,"17,41"
"Manga, Palmer, crua",100,"72,49","0,41","0,17",,,,,,NA,"19,35","1,63","11,64","8,73","0,05","14,01","0,09","1,86","156,53","0,09","0,09",NA,"0,09","0,03",Tr,Tr,"65,52"
"Manga, polpa, congelada",50,"24,15","0,19","0,12","0,05","0,05",Tr,"0,01","0,01",NA,"6,26","0,54","3,56","4,75","0,06","4,56","0,04","3,37","65,69","0,03","0,03",NA,Tr,"0,03","0,02",Tr,"12,45"
"Manga, Tommy Atkins, crua",100,"50,69","0,86","0,22","0,10","0,10",Tr,Tr,"0,04",NA,"12,77","2,07","7,64","7,40","0,34","13,78","0,08",Tr,"138,37","0,06","0,08",NA,Tr,"0,04","0,03",Tr,"7,94"
"Maracujá, cru",100,"68,44","1,99","2,10","0,22","0,28","0,94","0,92","0,02",NA,"12,26","1,14","5,39","27,97","0,12","50,69","0,56","1,58","338,42","0,19","0,39",NA,Tr,"0,05","0,05",Tr,"19,84"
"Maracujá, polpa, congelada",50,"19,38","0,41","0,09",,,,,,NA,"4,80","0,25","2,30","4,85","0,04","7,63","0,15","4,05","113,95","0,03","0,09",NA,Tr,"0,05","0,03",Tr,"3,63"
"Maracujá, suco concentrado, envasado",100,"41,97","0,77","0,19",,,,,,NA,"9,64","0,35","4,16","4,16","0,07","13,90","0,35","21,69","200,70","0,05","0,14",NA,Tr,"0,08","0,05","1,92","13,68"
"Melancia, crua",100,"32,61","0,88",Tr,,,,,,NA,"8,14","0,12","7,72","9,63","0,14","12,18","0,23",Tr,"104,03","0,04","0,10",NA,Tr,Tr,Tr,Tr,"6,15"
"Melão, cru",100,"29,37","0,68",Tr,,,,,,NA,"7,53","0,25","2,86","5,95","0,05","10,14","0,23","11,17","216,00","0,04","0,09",NA,Tr,Tr,"0,02",Tr,"8,68"
"Mexerica, Murcote, crua",100,"57,59","0,88","0,13",,,,,,NA,"14,86","3,07","33,07","12,30","0,05","19,50","0,07","1,17","158,54","0,06","0,10",NA,"0,08","0,07","0,05",Tr,"21,80"
"Mexerica, Rio, crua",100,"36,87","0,65","0,13",,,,,,NA,"9,34","2,73","17,18","8,21","0,05","13,70","0,09","1,82","124,99","0,07","0,15",NA,"0,03",Tr,Tr,Tr,"111,97"
"Morango, cru",100,"30,15","0,89","0,31",,,,,,NA,"6,82","1,72","10,90","9,67","0,33","22,43","0,32",Tr,"184,40","0,06","0,18",NA,Tr,"0,03","0,03",Tr,"63,60"
